id,Country,Food Namw,Taste
130,芬蘭,螺仔餅,
131,法國,黑貓包,
132,德國,鼎邊趖,
133,直布羅陀,龍鳳腿,
134,希臘,蚵嗲,
135,根西島,炸粿,
136,匈牙利,棺材板,
137,冰島,奮起湖便當,
138,愛爾蘭,臺鐵便當,
139,曼島,池上飯包,
140,義大利,福隆便當,
141,澤西島,焢窯,
142,拉脫維亞,薑汁番茄,
143,列支敦斯登,麻芛,
144,立陶宛,仙人掌冰,
145,盧森堡,雞蛋冰,
146,北馬其頓,花生卷加冰淇淋,
147,馬爾他,包心粉圓,
148,摩爾多瓦,豆漿豆花,
149,摩納哥,愛玉,
150,蒙特內哥羅,豐仁冰,
151,荷蘭,八寶冬粉,
152,挪威,薑汁番茄,
153,波蘭,淡水阿給,
154,葡萄牙,三杯,
155,羅馬尼亞,油蔥酥,
156,俄羅斯,菜脯卵,
157,聖馬利諾,西衛麵線,
158,塞爾維亞,新竹米粉,
159,斯洛伐克,芋圓,
160,斯洛維尼亞,黑輪,
161,西班牙,蜈蚣蟳,
162,斯瓦巴,通心鰻,
163,瑞典,蜂巢鮮蚵,
164,瑞士,蔭豉鮮蚵,
165,烏克蘭,五柳枝魚,
166,英國,紅蟳米糕,
167,梵蒂岡,櫻花蝦米糕,
168,科索沃,藥燉土虱,
169,聶斯特河沿,虱目魚湯,
170,安吉拉,虱目魚,
171,安地卡及巴布達,魷魚螺肉蒜,
172,阿魯巴,乾煎白鯧,
173,巴哈馬,清蒸石斑,
174,巴貝多,魷魚羹,
175,貝里斯,鯊魚煙,
176,百慕達,曼波魚皮,
177,英屬維京群島,三杯魚腸,
178,加拿大,蛋黃大蝦,
179,開曼群島,甘蔗蝦,
180,克利珀頓島,烤烏魚子,
181,哥斯大黎加,糖醋魚,
182,古巴,鳳梨蝦球,
183,古拉索,三杯田雞,
184,多米尼克,紅燒魚,
185,多明尼加,豆瓣魚,
186,薩爾瓦多,豆酥魚,
187,格陵蘭,客家小炒,
188,格瑞那達,布袋雞,
189,瓜德羅普,燒酒雞,
190,瓜地馬拉,甕仔雞,
191,海地,狗尾雞,
192,宏都拉斯,三杯雞,
193,牙買加,薑母鴨,
194,馬提尼克島,鳳梨苦瓜雞,
195,墨西哥,剝皮辣椒雞,
196,蒙哲臘,雞仔豬肚鱉,
197,納瓦薩島,涼拌鴨賞,
198,尼加拉瓜,烏骨雞湯,
199,巴拿馬,甘蔗雞,
200,波多黎各,雙緣佛手,
201,聖巴泰勒米,滷豬腳,
202,聖克里斯多福及尼維斯,花生豬腳,
203,聖露西亞,萬巒豬腳,
204,法屬聖馬丁,豬腳麵線,
205,聖皮耶與密克隆群島,藥燉排骨,
206,聖文森及格瑞那丁,大封肉,
207,千里達及托巴哥,醃腸熟肉,
208,土克凱可群島,薑絲大腸,
209,美國,客家小炒,
210,美屬維京群島,紅糟肉,
211,荷屬聖馬丁,糖醋排骨,
212,波內赫,紅燒排骨,
213,聖佑達修斯,西魯肉,
214,荷屬沙巴,五色冷盤,
215,阿根廷,咕咾肉,
216,玻利維亞,蔥爆牛肉,
217,巴西,豆乾牛肉,
218,智利,炒羊肉,
219,哥倫比亞,五更腸旺,
220,厄瓜多,宮保皮蛋,
221,福克蘭群島,菜脯蛋,
222,法屬圭亞那,九層塔烘蛋,
223,蓋亞那,三色蛋,
224,巴拉圭,鹹蛋苦瓜,
225,秘魯,蟹黃豆腐,
226,蘇利南,麻婆豆腐,
227,烏拉圭,蔥燒豆腐,
228,委內瑞拉,海鮮豆腐羹,
229,美屬薩摩亞,鐵板豆腐,
230,澳大利亞,老皮嫩肉,
231,貝克群島,火鍋,
232,庫克群島,羊肉爐,
233,斐濟,海鮮鍋,
234,法屬玻里尼西亞,麻辣火鍋,
235,關島,鴛鴦鍋,
236,豪蘭島,石頭火鍋,
237,加維斯島,素食鍋,
238,強斯頓島,佛跳牆,
239,金曼礁,握壽司,
240,吉里巴斯,味噌湯,
241,馬紹爾群島,刺身,
242,密克羅尼西亞,清酒,
243,中途島,便當,
244,諾魯,納豆,
245,新喀里多尼亞,天婦羅,
246,紐西蘭,章魚燒,
247,紐埃,竹輪,
248,諾福克島,蕎麥麵,
249,北馬利安納群島,牛丼,
250,帛琉,拉麵,
251,帕邁拉環礁,烏龍麵,
252,巴布亞紐幾內亞,懷石料理,
253,皮特肯群島,飯,
254,薩摩亞,蛋包飯,
255,索羅門群島,薑燒豬肉,
256,托克勞,馬鈴薯燉肉,
257,東加,漢堡排,
258,吐瓦魯,日式炸雞塊,
259,萬那杜,餃子,
260,威克島,豬肉湯,
261,瓦利斯和富圖納島,炊飯,
262,布韋島,魚板串,
263,法屬南部領地,紫菜飯捲,
264,赫德島和麥克唐納群島,冷麵,
265,南喬治亞島和南桑威奇群島,烤五花肉,
266,台灣,醬蟹,
267,台式,春川炒雞,
268,中式,血腸,
269,粵式,泡菜,
270,閔式,韓式拌飯,
271,客家,辣炒年糕,
272,原住民,韓式烤肉,
273,上海,炸醬麵,
274,北京,五花肉,
275,港式,炸雞,
276,泰式,漢堡,
277,越式,比薩,
278,印尼,牛排,
279,大馬,墨西哥捲餅,
280,美式,烤豬肋排,
281,美陸,BBQ,
282,英式,印度烤餅,
283,歐陸,捲餅,
284,日式,咖哩,
285,韓式,奶茶,
286,大韓,冰淇淋,
287,法式,抓飯,
288,中東,鬆餅,
289,,煎餅,
290,,烤餅,
291,,球餅,
292,,燒餅,
293,,豌豆,
294,,辣雞豆,
295,,明蝦,
296,,茄汁咖哩雞,
297,,拉西,
298,,優格,
299,,炸蔬菜,
300,,牛肉,
301,,雞肉,
302,,羊肉,
303,,魚肉,
304,,海鮮,
305,,豬肉,
306,,菠菜,
307,,香菜,
308,,芹菜,
309,,蕹菜,
310,,茼蒿,
311,,茴香,
312,,莧菜,
313,,萵苣,
314,,油麥菜,
315,,白菜類,
316,,小白菜,
317,,塌棵菜,
318,,菜心,
319,,大白菜,
320,,油菜,
321,,薺菜,
322,,芥菜類,
323,,子芥菜,
324,,蕪菁,
325,,榨菜,
326,,雪裡蕻,
327,,油菜,
328,,甘藍類,
329,,苤藍,
330,,青花菜,
331,,花椰菜,
332,,寶塔花菜,
333,,捲心菜,
334,,抱子甘藍,
335,,紫甘藍,
336,,羽衣甘藍,
337,,木立花椰菜,
338,,白花芥藍,
339,,芥藍,
340,,水生類,
341,,西洋菜,
342,,水芹,
343,,大蔥,
344,,小蔥,
345,,火蔥,
346,,樓子蔥,
347,,大蒜,
348,,洋蔥,
349,,韭菜,
350,,韭蔥,
351,,薤,
352,,莖菜類,
353,,大黃,
354,,蘆筍,
355,,甘蔗,
356,,筊白筍,
357,,瓜果類,
358,,黃瓜,
359,,絲瓜,
360,,冬瓜,
361,,苦瓜,
362,,南瓜,
363,,西葫蘆,
364,,葫蘆,
365,,筍瓜,
366,,佛手瓜,
367,,茄子,
368,,番茄,
369,,辣椒,
370,,菜椒,
371,,根莖類,
372,,番薯,
373,,馬鈴薯,
374,,山藥,
375,,芋頭,
376,,魔芋,
377,,薑,
378,,白蘿蔔,
379,,胡蘿蔔,
380,,辣根,
381,,甜菜根,
382,,芹菜根,
383,,木薯,
384,,樹薯,
385,,雪蓮薯,
386,,豆類,
387,,紅豆,
388,,豌豆,
389,,刀豆,
390,,蠶豆,
391,,大豆,
392,,豆角,
393,,豇豆,
394,,扁豆,
395,,四季豆,
396,,荷包豆,
397,,毛豆,
398,,蓮藕,
399,,茭白,
400,,菱角,
401,,蓴菜,
402,,慈菇,
403,,水芹,
404,,芡實,
405,,蒲菜,
406,,龍骨瓣,
407,,莕菜,
408,,獵人燴雞,
409,,義大利薄餅,
410,,義大利麵,
411,,義大利餃,
412,,意式冰淇淋,
413,,提拉米蘇,
414,,卡布奇諾,
415,,濃縮咖啡,
416,,拿鐵咖啡,
417,,特色食品,
418,,松露菌,
419,,巴馬臣起司,
420,,莫薩里拉起司,
421,,馬斯卡彭起司,
422,,卡蘇馬蘇乳酪,
423,,巴馬火腿,
424,,莎樂美腸,
425,,意式肉腸,
426,,風乾豬面頰肉,
427,,香蒜醬,
428,,熱那亞醬,
429,,蕃茄肉醬,
430,,辣蝦湯,
431,,青木瓜,
432,,雞湯,
433,,紅咖哩,
434,,泰式炒飯,
435,,打拋豬肉,
436,,綠咖哩,
437,,打拋豬,
438,,月亮蝦餅,
439,,河粉,
440,,蝦醬,
441,,蝦球,
442,,沙拉,
443,,春捲,
444,,米線,
445,,腸粉,
446,,香茅,
447,,魚露,
448,,法國蝸牛,
449,,青蛙腿,
450,,肥肝,
451,,松露,
452,,魚子醬,
453,,紅酒燉牛肉,
454,,孛艮地燉牛肉,
455,,火上鍋,
456,,燉菜鍋,
457,,蔬菜燉牛肉,
458,,白醬燉牛肉,
459,,燉牛肉佐白醬,
460,,老奶奶牛肉,
461,,韃靼生牛塔,
462,,野蠻人牛肉,
463,,諾曼地牛肚鍋,
464,,長棍麵包,
465,,可頌麵包,
466,,布莉歐,
467,,巧克力,
468,,火腿起司三明治,
469,,可麗餅,
470,,鹹派,
471,,蘋果派,
472,,薯條,
473,,生蠔,
474,,龍蝦,
475,,普羅旺斯燉菜,
476,,馬鈴薯泥,
477,,歐姆蛋,
478,,起司火鍋,
479,,紅酒,
480,,葡萄酒凍,
481,,馬賽魚湯,
482,,焗烤洋蔥湯,
483,,蘑菇濃湯,
484,,馬卡龍,
485,,檸檬塔,
486,,翻轉蘋果塔,
487,,閃電泡芙,
488,,修女泡芙,
489,,慕絲,
490,,巧克力,
491,,熔岩巧克力,
492,,焦糖布,
493,,奶油烤布蕾,
494,,奶油酥,
495,,法式千層酥,
496,,法式棉花糖,
497,,舒芙蕾,
498,,可麗露,
499,,手指餅乾,
500,,費南雪,
501,,蒙布朗,
502,,栗子蛋糕,
503,,瑪德蓮,
504,,紅酒,
505,,白酒,
506,,啤酒,
507,,調酒,
508,,水果酒,
509,,紹興,
510,,利口酒,
511,,氣泡酒,
512,,中藥,
513,,白蘭地,
514,,葡萄柚,
515,,蘋果,
516,,梨子,
517,,金柑,
518,,鳳梨,
519,,草莓,
520,,桶柑,
521,,蓮霧,
522,,椪柑,
523,,柚子,
524,,釋迦,
525,,龍眼,
526,,香蕉,
527,,木瓜,
528,,柑橘,
529,,櫻桃,
530,,芒果,
531,,楊桃,
532,,柳丁,
533,,葡萄,
534,,葡萄,
535,,香瓜,
536,,荔枝,
537,,鳳梨,
538,,柚子,
539,,火龍果,
540,,西瓜,
541,,榴槤,
542,,芒果,
543,,草莓,
544,,楊桃,
545,,木瓜,
546,,龍眼,
547,,甜柿,
548,,蓮霧,
549,,釋迦,
550,,香蕉,
551,,柿子,
552,,荔枝,
553,,番石榴,
554,,葡萄,
555,,柚子,
556,,鳳梨,
557,,草莓,
